	SRR1450106	SRR1450107	SRR1450108	SRR1450109	SRR1450110	SRR1450111	SRR1450112	SRR1450113	SRR1450114	SRR1450115	SRR1450116	SRR1450117	SRR1450118	SRR1450119	SRR1450120	SRR1450121	SRR1450122	SRR1450123
Blon_0002	21.1031825782855	19.5336272525134	17.2480743605347	24.9600814515398	18.3235132595129	18.1652877306528	15.7157669597525	9.40601024033775	11.3902645251026	0	7.34633285664139	8.75140983832639	12.04337598351	0	16.6705183595755	25.2026690677431	3.91183547631237	8.66994150721038
Blon_0003	821.851721521008	804.246584120723	883.963810977403	936.340352830735	568.028911044899	561.393892247317	491.678994883686	481.722095880155	362.590087382432	2998.46270587869	447.146793207572	428.819082077993	811.723541288576	3595.74708538898	406.154447306022	418.752039894808	424.434149179892	503.579102543803
Blon_0004	258.513986583998	244.507127333185	217.75693880175	219.243958695957	216.753754411311	194.628082828423	197.569641779746	205.588509538811	212.143676780036	96.7246034154417	203.738297890854	204.564204970879	213.408622427798	119.858236179633	189.43770863154	173.510683197154	123.874790083225	146.666510496976
Blon_0005	58.0337520902852	64.6630419393546	73.3043160322724	84.9991962944327	60.7804342266768	47.5757535802811	35.9217530508629	40.9833303329002	44.1372750347725	0	32.8136200929982	27.34815574477	44.3196236193169	0	41.6762958989388	52.8286716996922	39.1183547631237	47.6846782896571
Blon_0006	2821.37827081356	2721.90992163471	3508.54579283877	3441.79285312854	2109.88551458927	2155.61414403747	2160.91795696597	2471.7651195859	1580.8737972132	20699.0651309045	1844.41930254076	2063.69183250034	2414.93775221343	14502.8465777356	3081.77264401789	3004.93361961552	3482.18554649739	2684.79188673281
Blon_0007	4413.49615644199	4463.77061387607	5231.19721959717	5243.64089521131	4422.67041990584	5475.53673023963	4696.2079340089	5143.74388571613	3433.69015996322	17700.6024250258	3671.20740622559	3511.50319762847	3312.89186554394	22413.4901655913	4382.83082689931	4390.1110849157	4099.60357917536	2798.22362145215
Blon_0008	1288.46653630754	1271.70649147397	1069.38061035315	1094.87059988781	897.405234758581	855.498550743601	853.702912349413	790.104860188371	913.59413378427	3772.25953320223	965.797892886454	1076.97037322904	1162.90838496773	2157.44825123339	969.921068193485	846.228080620757	871.035366058887	821.476957808184
Blon_0009	235.652205457522	217.564193191787	206.258222561394	212.497990736082	279.321848468184	254.746535079869	374.372020076962	343.991231646638	429.982485822623	290.173810246325	235.082651412524	260.901405805106	196.066161011543	239.716472359265	222.020994516165	265.597358636984	163.645117425734	137.274073864164
Blon_0010	52.1717569296503	51.1915748686557	36.6521580161362	41.1504045552412	65.2495838021678	60.1184522514462	116.745697415304	88.013381534589	109.1567016989	0	67.5862622811007	73.2930573959836	61.6620850355713	0	59.1045650930405	63.0066726693576	49.54991603329	44.0722026616528
Blon_0011	2717.03475695426	2875.48464624068	2026.64873736283	2028.5125655346	4057.98781454578	4493.74617908292	6824.01052488111	7418.65464812925	5096.66878062819	36852.0739012833	6215.97710776616	6474.94935413174	4559.14041231755	37036.1949795065	9114.22703768066	9096.22486660388	5969.46093685267	5032.90104493563
Blon_0012	94.9643216022848	85.5438158989379	176.792762195481	179.442747732691	46.4791555851058	60.550959102176	61.7405130561706	63.1546401851249	84.4777952278442	0	47.506285806281	58.5250532938078	67.9246405469965	0	84.86809346693	86.2706748857358	61.9373950416124	58.5221051736701
Blon_0013	179.377051915427	139.429684181733	392.393691702164	383.170980120935	63.9088389295205	146.619822397412	79.1401121901823	53.0767720704773	214.516648556099	96.7246034154417	60.2399294244594	138.928631183431	297.712254312368	0	137.152901049235	112.927344092003	157.12539163188	218.193527931461
Blon_0016	16.4135864497776	26.9429341413978	15.8107348304901	16.864919899689	30.8371320708875	29.4104658496283	8.41916087129599	15.4527311091263	15.1870193668034	0	11.7541325706262	16.9558565617574	8.67123070812722	0	21.2170233667325	19.3866685136485	9.77958869078091	10.1149317584121
Blon_0017	36.9305695119996	34.3522410302821	30.902799895958	30.3568558194403	21.8988329199056	19.8953151335721	23.5736504396288	17.4683047320558	55.5275395598751	0	38.2009308545352	47.5857909958998	132.958870857951	0	47.7383025751481	61.0680058179928	59.9814773034563	73.6945028112882
Blon_0018	12.3101898373332	6.0621601818145	12.936055770401	14.8411295117263	10.2790440236292	10.8126712682457	8.41916087129599	3.3592893715492	20.4075572741421	0	11.7541325706262	15.3149672170712	35.1666578718493	0	18.943770863154	33.9266698988849	16.2993144846349	23.1198440192277
Blon_0019	61.5509491866661	48.497281454516	112.112483343475	102.538712990109	71.059478250306	49.7382878339303	54.4439069677141	38.2958988356609	24.204312115843	96.7246034154417	26.9365538076851	22.4254877107114	32.7579826751473	0	62.1355684311451	104.203343260861	43.6821628188214	32.5122806520389
Blon_0020	18.7583845140316	14.8186137777688	40.2455068412476	39.1266141672785	40.2223461794185	28.1129452974389	20.2059860911104	20.827594103605	11.3902645251026	0	11.7541325706262	14.7680041021758	20.2328716522968	0	42.434046733465	58.6446722537867	41.0742725012798	25.2873293960303
Blon_0021	45.7235622529519	43.1086946262364	72.5856462672502	87.697583478383	67.4841585899132	59.6859454007163	73.527338275985	61.1390665621954	27.0518782471186	0	29.3853314265655	33.9117131235148	27.4588972424029	0	60.6200667620928	92.0866754398304	54.7656966683731	46.9621831640562
Blon_0022	33.4133724156187	27.6165074949327	63.9616090869828	73.5310507626442	58.9927743964804	62.7134933558251	72.9660608845653	86.6696657859693	48.8832185868986	0	33.7931311405504	35.552602468201	29.8675724391049	0	85.6258443014561	109.050010389273	81.4965724231743	72.2495125600865
Blon_0023	22.2755816104125	30.3108009090725	111.393813578453	92.4197610502959	73.2940530380515	102.504123622969	98.7848208898729	126.98113824456	93.9696823320963	0	48.4857968538331	41.5691967320504	35.6483929111897	0	125.786638531343	127.95201219008	101.055749804736	75.13949306249
Blon_0024	262.031183680378	266.061474646303	449.168603138924	430.392755840064	889.807680480247	714.068810554947	1249.40347330032	1205.98488438616	973.867616896271	290.173810246325	604.848071863474	595.64283212109	289.522758643581	0	482.687281593164	500.176047652131	623.285785892437	736.222532987282
Blon_0025	294.858356579934	309.843742626074	458.511310084214	439.83711098389	877.740976626421	891.829126204907	1273.53840113137	1042.72342092887	925.458992664585	96.7246034154417	579.380784627117	649.245217380839	210.999947231096	359.574708538898	288.703067954467	339.75136570169	444.645299140839	549.096295456657
Blon_0026	532.855360101709	434.454813030039	317.652036139847	334.60001080983	538.085608889109	524.630809935282	504.02709749492	475.003517137057	505.442988301427	96.7246034154417	436.372171684498	422.255524699248	267.844681873263	0	387.968427277394	378.040036016146	224.278567308576	229.753449941075
Blon_0027	277.272371098029	270.102914767513	217.038269036728	192.260086856455	256.976100590729	222.308521275132	199.814751345425	167.29261070315	227.805290502052	0	171.904188845408	170.105528732469	138.257956290695	0	112.147123509872	129.890679041445	90.6241885345698	100.42682245852
Blon_0028	298.961753192378	323.988783050308	191.884827260948	183.490328508617	357.085051081726	384.931097149547	473.718118358254	520.689852590126	520.630007668231	193.449206830883	454.493126064214	427.725155848202	354.075253915195	239.716472359265	536.487590844521	535.55671768954	370.320425090904	256.485769588307
Blon_0029	2038.21571735274	1907.55973721096	1265.57745620423	1258.79762131279	3516.32688599627	4815.96378287664	6769.00534052198	7639.69588877719	3422.77448979333	37335.6969183605	5479.38480000692	5612.3885219417	4707.5148044344	107033.404908412	8287.52087721262	8402.6668005281	11670.9611435779	12909.5429042363
Blon_0030	390.995077214345	350.931717191706	607.994621208848	611.18469716473	471.048365256745	436.831919237127	483.25983401239	503.22154785807	615.548878710752	1257.41984440074	618.561226529205	622.99098786586	538.098038943228	3356.03061302972	559.220115880306	598.078723646056	614.158169781041	496.354151287794
Blon_0031	163.549664981713	171.087631797876	170.32473431028	183.490328508617	203.346305684838	148.349849800331	143.125734812032	141.762011479376	186.515581598555	0	137.621302181082	166.276786928201	152.228272431567	119.858236179633	123.513386027764	162.363348801806	74.3248740499349	101.871812709722
Blon_0034	278.444770130156	308.496595919004	237.161022457352	227.339120247808	322.672599350446	333.462781912698	316.560448760729	293.6018910734	199.804223544508	96.7246034154417	191.494409796452	189.796200868704	191.248810618139	0	162.158678588598	164.302015653171	125.830707821381	164.006393511396
Blon_0035	5349.07058407931	4508.90002856292	8704.52819394984	8300.23897783095	6412.78272587195	7426.14262703116	5765.44136466349	6001.7063912098	2607.89598189328	185130.890937155	3476.77446328648	3846.24462394445	5826.58530082215	249904.422434534	5423.98047353826	4913.06646807137	6825.50093358569	7615.09862383312
Blon_0036	2336.59127102906	2416.78119248338	2370.17288504348	2379.30289944813	2908.52254372951	2720.90059794135	3328.93620851043	3359.96122942351	1026.07299596966	25728.7445085075	1102.43968401998	1032.66636092251	1165.79879520377	35717.7543815305	1919.38286385476	2075.34286438607	1748.59045791163	1101.80506654132
Blon_0037	4071.74183857698	4287.96796860345	2327.77136890716	2272.04200888611	3681.23850533189	3714.8013409185	4145.03353563473	4133.94150062844	2047.40004838719	9092.11272105152	2222.51056689591	1854.7519226103	928.303420808953	17379.4442460467	2333.87257034057	2860.50293918884	2269.51654884056	2042.49372007365
Blon_0038	40.4477666083806	38.3936811514918	42.4015161363144	35.7536301873407	61.674264141775	52.3333289383093	58.9341260990719	60.4672086878856	58.8497000463634	0	28.4058203790134	36.0995655830964	19.7511366129564	0	32.5832858846249	46.0433377199152	52.1578063508315	60.6895905504727
Blon_0039	4.68959612850789	2.02072006060483	1.43733953004456	2.02379038796268	4.02223461794185	3.89256165656846	6.73532869703679	1.34371574861968	0.474594355212608	0	0.489755523776092	1.0939262297908	5.78082047208481	0	3.03100333810464	2.42333356420606	5.21578063508315	7.22495125600865
Blon_0040	188.756244172443	181.1912321009	152.357990184723	167.974602200903	283.344083086126	240.473809005785	242.471833093325	217.681951276388	178.44747755994	9382.28653129784	104.807682088084	101.188176255649	58.7716747995289	26608.5284318785	67.4398242728283	105.172676686543	45.6380805569776	50.5746587920606
Blon_0041	108.446910471745	88.9116826666126	131.516566999077	138.29234317745	130.946082561885	75.68869887772	97.1009887156138	61.1390665621954	102.512380725923	386.898413661767	223.818274365674	319.426459098913	62.6255551142521	1678.01530651486	78.0483359561945	97.4180092810837	50.8538611920607	65.0245613040779
Blon_0042	184.066648043935	143.471124302943	58.9309207318269	84.3245994984451	426.356869501836	350.763055941891	511.323703583376	433.348328929847	142.378306563782	96.7246034154417	79.8301503755031	88.6080246130547	72.2602559010601	119.858236179633	96.2343559848224	129.890679041445	52.1578063508315	82.3644443184986
